Senator,State,Party,"(,000)",Voted for?
MCCONNELL JR,KY,R,251,Yes
THUNE,SD,R,215,Yes
MCCASKILL,MO,D,192,No
BLUNT,MO,R,186,Yes
WARNER,VA,D,160,No
BENNET,CO,D,158,No
WICKER,MS,R,152,Yes
CORNYN,TX,R,149,Yes
BLUMENTHAL,CT,D,148,No
TOOMEY,PA,R,143,Yes
SCHUMER,NY,D,141,No
GRASSLEY,IA,R,135,Yes
MORAN,KS,R,131,Yes
LEAHY,VT,D,129,No
COCHRAN,MS,R,124,Yes
JOHNSON,WI,R,124,Yes
KLOBUCHAR,MN,D,120,No
HATCH,UT,R,107,Yes
NELSON,FL,D,106,No
UDALL,NM,D,105,No
ROBERTS,KS,R,100,Yes
GARDNER,CO,R,95,Yes
MENENDEZ,NJ,D,95,No
CASEY JR,PA,D,94,No
SCHATZ,HI,D,91,No
PORTMAN,OH,R,89,Yes
COONS,DE,D,89,No
CARPER,DE,D,88,No
MURRAY,WA,D,88,No
ALEXANDER,TN,R,86,Yes
MCCAIN,AZ,R,84,Yes
TESTER,MT,D,82,No
GILLIBRAND,NY,D,82,No
DURBIN,IL,D,79,No
HELLER,NV,R,79,Yes
FRANKEN,MN,D,76,No
RUBIO,FL,R,76,Yes
GRAHAM,SC,R,75,Yes
WHITEHOUSE,RI,D,72,No
WYDEN,OR,D,71,No
SHAHEEN,NH,D,71,No
COTTON,AR,R,70,Yes
MURKOWSKI,AK,R,66,Yes
BARRASSO,WY,R,63,Yes
LEE,UT,R,61,Yes
SCOTT,SC,R,60,Yes
FEINSTEIN,CA,D,59,No
BURR,NC,R,59,Yes
ISAKSON,GA,R,58,No
COLLINS,ME,R,58,Yes
BROWN,OH,D,57,No
BOOZMAN,AR,R,56,Yes
BOOKER,NJ,D,55,No
VAN HOLLEN,MD,D,55,No
STABENOW,MI,D,54,No
CARDIN,MD,D,50,No
MANCHIN III,WV,D,50,No
ENZI,WY,R,45,Yes
MERKLEY,OR,D,45,No
CORKER,TN,R,44,Yes
TILLIS,NC,R,41,Yes
MARKEY,MA,D,41,No
CRUZ,TX,R,41,Yes
ROUNDS,SD,R,40,Yes
DAINES,MT,R,39,Yes
INHOFE,OK,R,38,Yes
PERDUE,GA,R,37,Yes
MURPHY,CT,D,36,No
CASSIDY,LA,R,35,Yes
HEITKAMP,ND,D,34,No
SASSE,NE,R,32,Yes
PAUL,KY,R,31,No
REED,RI,D,31,No
PETERS,MI,D,30,No
YOUNG,IN,R,29,Yes
HIRONO,HI,D,29,No
HEINRICH,NM,D,29,No
ERNST,IA,R,28,Yes
FLAKE,AZ,R,28,Yes
RISCH,ID,R,27,Yes
SHELBY,AL,R,27,Yes
BALDWIN,WI,D,27,No
SESSIONS,AL,R,27,Yes
HOEVEN III,ND,R,26,Yes
CAPITO,WV,R,25,Yes
HARRIS,CA,D,24,No
FISCHER,NE,R,22,Yes
LANKFORD,OK,R,21,Yes
WARREN,MA,D,20,No
KAINE,VA,D,20,No
KING JR,ME,I,20,No
CANTWELL,WA,D,13,No
DUCKWORTH,IL,D,13,No
CRAPO,ID,R,11,Yes
SULLIVAN,AK,R,11,Yes
DONNELLY SR,IN,D,11,No
CORTEZ MASTO,NV,D,10,No
HASSAN,NH,D,7,No
SANDERS,VT,I,3,No
KENNEDY,LA,R,1,Yes
